Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:23.3,0.155029,0.314941,0.210449
25:23.3,0.136475,0.35498,0.132813
25:23.3,0.109375,0.39917,0.096924
25:23.3,0.064941,0.476807,0.053467
25:23.4,0.05957,0.550781,0.003906
25:23.4,0.101074,0.678467,0.027588
25:23.4,0.19165,0.828857,0.047119
25:23.4,0.261719,0.956055,0.024414
25:23.4,0.293945,1.034668,0.005859
25:23.4,0.299072,1.082275,-0.000488
25:23.4,0.296875,1.103027,0.032227
25:23.4,0.300049,1.119629,0.082275
25:23.4,0.284912,1.121826,0.137939
25:23.4,0.255859,1.103516,0.197754
25:23.5,0.240479,1.08252,0.239258
25:23.5,0.230469,1.039795,0.253906
25:23.5,0.241943,1,0.253662
25:23.5,0.251953,0.960938,0.240234
25:23.5,0.25,0.919678,0.190674
25:23.5,0.25,0.890137,0.164063
25:23.5,0.25,0.858643,0.177979
25:23.5,0.251953,0.827148,0.195557
25:23.5,0.240967,0.795654,0.211426
25:23.5,0.237061,0.761963,0.227051
25:23.6,0.21582,0.739746,0.24292
25:23.6,0.197754,0.725586,0.258545
25:23.6,0.214844,0.709961,0.276611
25:23.6,0.210205,0.694092,0.282471
25:23.6,0.20166,0.676025,0.283447
25:23.6,0.205322,0.672852,0.273193
25:23.6,0.192627,0.661377,0.258545
25:23.6,0.188721,0.652832,0.225098
25:23.6,0.174316,0.662354,0.232178
25:23.6,0.181885,0.690186,0.213135
25:23.7,0.186035,0.725098,0.201172
25:23.7,0.201172,0.74292,0.203125
25:23.7,0.192139,0.769531,0.203125
25:23.7,0.186768,0.802002,0.205078
25:23.7,0.189453,0.831299,0.190918
25:23.7,0.173096,0.875488,0.190918
25:23.7,0.183838,0.92334,0.164307
25:23.7,0.183838,0.974854,0.140625
25:23.7,0.211182,0.996582,0.153076
25:23.7,0.230713,1.013428,0.159912
25:23.8,0.247803,1.019287,0.129639
25:23.8,0.250244,0.993164,0.124268
25:23.8,0.25293,0.945801,0.125
25:23.8,0.223389,0.914551,0.12085
25:23.8,0.205566,0.851807,0.164795
25:23.8,0.190674,0.814697,0.198486
25:23.8,0.160156,0.810303,0.230225
25:23.8,0.127441,0.838623,0.263672
25:23.8,0.109863,0.900146,0.268066
25:23.8,0.109131,0.978027,0.207764
25:23.9,0.10791,1.104248,0.111816
25:23.9,0.186523,1.248047,0.062744
25:23.9,0.250732,1.424316,0.031006
25:23.9,0.299561,1.616211,0.030518
25:23.9,0.395996,1.791992,-0.001953
25:23.9,0.473877,1.967041,-0.033203
25:23.9,0.522217,2.125488,-0.048584
25:23.9,0.604248,2.265381,-0.062256
25:23.9,0.67627,2.352051,-0.044189
25:23.9,0.650879,2.356689,-0.029785
25:24.0,0.597412,2.300537,-0.032715
25:24.0,0.512939,2.218506,-0.050293
25:24.0,0.420898,2.135254,-0.061279
25:24.0,0.35376,2.019043,-0.049072
25:24.0,0.237549,1.885498,-0.085693
25:24.0,0.126221,1.7229,-0.12207
25:24.0,0.018555,1.566895,-0.15918
25:24.0,-0.078369,1.429443,-0.101807
25:24.0,-0.185791,1.304688,0.016113
25:24.0,-0.254395,1.178711,0.105469
25:24.1,-0.293213,1.046387,0.185059
25:24.1,-0.325684,0.912354,0.247803
25:24.1,-0.372803,0.824951,0.262939
25:24.1,-0.462158,0.804199,0.270752
